Scientific name | Common name | Brief descriptor
Felis silvestris | European wildcat | Solitary forest cat closely related to domestic cats
Panthera leo | Lion | Social big cat living in prides
Panthera tigris | Tiger | Largest living cat and solitary striped predator
Panthera pardus | Leopard | Highly adaptable spotted big cat and skilled climber
Panthera onca | Jaguar | Powerful American cat capable of crushing bites
Acinonyx jubatus | Cheetah | Fastest terrestrial animal and pursuit-hunting cat
Puma concolor | Cougar | Wide-ranging American mountain lion
Lynx canadensis | Canada lynx | Snow-adapted cat with oversized paws
Crocuta crocuta | Spotted hyena | Bone-crushing social carnivore with female dominance
Suricata suricatta | Meerkat | Cooperative desert mongoose with sentinel behavior
Herpestes ichneumon | Egyptian mongoose | Snake-fighting carnivore of Africa and Iberia
Elephas maximus | Asian elephant | Social forest elephant with dexterous trunk
Loxodonta africana | African bush elephant | Largest living land animal
Procavia capensis | Rock hyrax | Small hoofed-looking relative of elephants
Trichechus manatus | West Indian manatee | Slow herbivorous aquatic mammal
Dugong dugon | Dugong | Seagrass-grazing marine mammal with fluked tail
Equus ferus caballus | Domestic horse | Domesticated running ungulate central to human transport
Equus quagga | Plains zebra | Striped African grazer with herd defenses
Equus africanus asinus | Domestic donkey | Sure-footed domesticated equid adapted to arid lands
Tapirus terrestris | South American tapir | Forest browser with short flexible proboscis
Diceros bicornis | Black rhinoceros | Hook-lipped browsing rhinoceros
Ceratotherium simum | White rhinoceros | Broad-mouthed grazing rhinoceros
Sus scrofa | Wild boar | Intelligent omnivorous pig with global range
Sus scrofa domesticus | Domestic pig | Domesticated pig bred for diverse agricultural roles
Hippopotamus amphibius | Hippopotamus | Semiaquatic African herbivore with formidable jaws
Camelus dromedarius | Dromedary camel | One-humped desert-adapted domestic camel
Camelus bactrianus | Bactrian camel | Two-humped cold-desert camel
Lama glama | Llama | Domesticated South American pack camelid
Vicugna pacos | Alpaca | Domesticated camelid bred for fine fiber
Giraffa camelopardalis | Giraffe | Tallest living animal with elongated neck and legs
Okapia johnstoni | Okapi | Striped forest giraffid of the Congo
Cervus canadensis | Elk | Large deer known for bugling and antlers
Alces alces | Moose | Largest deer with broad palmate antlers
Rangifer tarandus | Reindeer | Arctic deer in which both sexes grow antlers
Odocoileus virginianus | White-tailed deer | Common American deer with signaling tail
Bos taurus | Domestic cattle | Domesticated bovine used for milk meat and labor
Bison bison | American bison | Massive herd-forming grazer of North America
Syncerus caffer | African buffalo | Powerful herd bovine known for collective defense
Capra aegagrus hircus | Domestic goat | Agile domesticated browser of rocky terrain
Ovis aries | Domestic sheep | Wool-bearing domesticated ruminant
Ovibos moschatus | Muskox | Shaggy Arctic bovine with defensive circles
Antilocapra americana | Pronghorn | Fast North American ungulate with unique horns
Connochaetes taurinus | Blue wildebeest | Migratory African antelope of vast herds
Gazella dorcas | Dorcas gazelle | Small desert antelope adapted to scarce water
Saiga tatarica | Saiga antelope | Steppe antelope with enlarged filtering nose
Bradypus variegatus | Brown-throated sloth | Slow arboreal leaf-eater with algae-rich fur
Myrmecophaga tridactyla | Giant anteater | Toothless insectivore with long sticky tongue
Dasypus novemcinctus | Nine-banded armadillo | Armored digging mammal often bearing identical quadruplets
Orycteropus afer | Aardvark | Burrowing nocturnal termite specialist
Manis javanica | Sunda pangolin | Scaled mammal that rolls into a defensive ball
Ornithorhynchus anatinus | Platypus | Egg-laying venomous mammal with electroreceptive bill
Tachyglossus aculeatus | Short-beaked echidna | Spiny egg-laying mammal that eats ants
Macropus giganteus | Eastern gray kangaroo | Large hopping marsupial with powerful tail
Vombatus ursinus | Common wombat | Burrowing marsupial producing cube-shaped droppings
Phascolarctos cinereus | Koala | Eucalyptus-specialist arboreal marsupial
Sarcophilus harrisii | Tasmanian devil | Stocky scavenging marsupial with powerful bite
Didelphis virginiana | Virginia opossum | North American marsupial known for defensive immobility
Petaurus breviceps | Sugar glider | Small gliding marsupial of Australia and New Guinea
Notoryctes typhlops | Southern marsupial mole | Blind sand-swimming desert marsupial
Balaenoptera musculus | Blue whale | Largest animal known to have lived
Megaptera novaeangliae | Humpback whale | Acrobatic baleen whale with complex songs
Physeter macrocephalus | Sperm whale | Deep-diving toothed whale with giant brain
Orcinus orca | Killer whale | Apex dolphin with culturally distinct hunting traditions
Tursiops truncatus | Common bottlenose dolphin | Intelligent social dolphin using echolocation
Monodon monoceros | Narwhal | Arctic whale with elongated spiral tusk
Delphinapterus leucas | Beluga whale | Vocal white Arctic whale with flexible neck
Odobenus rosmarus | Walrus | Tusked Arctic pinniped feeding on seafloor prey
Mirounga leonina | Southern elephant seal | Largest seal and extreme deep diver
Pteropus vampyrus | Large flying fox | Giant fruit bat and long-distance pollinator
Desmodus rotundus | Common vampire bat | Blood-feeding bat with anticoagulant saliva
Rhinolophus ferrumequinum | Greater horseshoe bat | Echolocating bat with elaborate noseleaf
Erinaceus europaeus | European hedgehog | Spiny insectivore that curls into a ball
Talpa europaea | European mole | Subterranean mammal with shovel-like forefeet
Sorex araneus | Common shrew | Tiny hypermetabolic insectivore with venomous saliva
Hydrochoerus hydrochaeris | Capybara | Largest living rodent and social semiaquatic grazer
Castor canadensis | North American beaver | Dam-building rodent and ecosystem engineer
Hystrix cristata | Crested porcupine | Large quilled rodent of Africa and Eurasia
Cavia porcellus | Domestic guinea pig | Domesticated South American rodent
Mus musculus | House mouse | Globally distributed commensal rodent and model organism
Rattus norvegicus | Brown rat | Intelligent adaptable rodent closely associated with humans
Sciurus carolinensis | Eastern gray squirrel | Tree-dwelling seed cacher common in cities
Marmota monax | Groundhog | Burrowing marmot famous for seasonal hibernation
Lepus americanus | Snowshoe hare | Boreal hare with seasonally changing coat
Oryctolagus cuniculus | European rabbit | Social burrowing lagomorph and domestic ancestor
Ochotona princeps | American pika | Heat-sensitive mountain lagomorph storing hay piles
Struthio camelus | Common ostrich | Largest living bird and fastest-running bird
Dromaius novaehollandiae | Emu | Large flightless Australian bird with powerful legs
Casuarius casuarius | Southern cassowary | Helmeted rainforest bird with dangerous claws
Apteryx australis | Southern brown kiwi | Nocturnal flightless bird with nostrils at bill tip
Rhea americana | Greater rhea | Large flightless grassland bird of South America
Aptenodytes forsteri | Emperor penguin | Largest penguin and Antarctic winter breeder
Spheniscus demersus | African penguin | Warm-water penguin with donkey-like bray
Diomedea exulans | Wandering albatross | Oceanic bird with the largest wingspan
Fulmarus glacialis | Northern fulmar | Tube-nosed seabird that ejects stomach oil
Puffinus puffinus | Manx shearwater | Long-distance migratory seabird using dynamic soaring
Fratercula arctica | Atlantic puffin | Colorful-billed diving seabird nesting in burrows
Uria aalge | Common murre | Cliff-nesting seabird that flies underwater
Larus argentatus | European herring gull | Opportunistic coastal gull thriving near humans
Sterna hirundo | Common tern | Graceful plunge-diving migratory seabird
Fregata magnificens | Magnificent frigatebird | Aerial pirate with huge throat pouch
Pelecanus occidentalis | Brown pelican | Coastal plunge-diver with expandable bill pouch
Morus bassanus | Northern gannet | High-speed ocean plunge-diving seabird
Phalacrocorax carbo | Great cormorant | Dark aquatic bird that pursues fish underwater
Phoenicopterus roseus | Greater flamingo | Filter-feeding wader colored by carotenoids
Ardea herodias | Great blue heron | Tall stealth-hunting wetland bird
Egretta garzetta | Little egret | Slender white wader with active fishing style
Balaeniceps rex | Shoebill | Huge swamp bird with shoe-shaped bill
Ciconia ciconia | White stork | Long-distance migrant associated with human settlements
Leptoptilos crumenifer | Marabou stork | Massive scavenging stork with bare head
Threskiornis aethiopicus | African sacred ibis | Curved-billed wetland bird revered in ancient Egypt
Platalea ajaja | Roseate spoonbill | Pink wader sweeping a spoon-shaped bill
Anser anser | Greylag goose | Ancestor of most domestic geese
Branta canadensis | Canada goose | Large adaptable goose with black neck
Cygnus olor | Mute swan | Large territorial swan with orange bill
Anas platyrhynchos | Mallard | Widespread dabbling duck and domestic duck ancestor
Aix galericulata | Mandarin duck | Ornate East Asian perching duck
Somateria mollissima | Common eider | Arctic sea duck producing insulating down
Mergus merganser | Common merganser | Streamlined fish-eating diving duck
Gallus gallus | Red junglefowl | Wild ancestor of the domestic chicken
Gallus gallus domesticus | Domestic chicken | Globally abundant domesticated gamebird
Meleagris gallopavo | Wild turkey | Large North American gamebird with elaborate display
Pavo cristatus | Indian peafowl | Peacock species with spectacular iridescent train
Numida meleagris | Helmeted guineafowl | Flock-forming African bird with casque
Coturnix japonica | Japanese quail | Small domesticated gamebird and research species
Phasianus colchicus | Common pheasant | Colorful ground bird introduced worldwide
Opisthocomus hoazin | Hoatzin | Leaf-eating tropical bird with clawed chicks
Columba livia | Rock pigeon | Cliff-dwelling ancestor of domestic pigeons
Streptopelia decaocto | Eurasian collared dove | Rapidly expanding pale dove
Zenaida macroura | Mourning dove | Fast-flying dove with plaintive call
Otidiphaps nobilis | Pheasant pigeon | Large ground-dwelling pigeon of New Guinea
Psittacus erithacus | African gray parrot | Exceptional vocal learner and problem solver
Ara macao | Scarlet macaw | Large colorful rainforest parrot with strong bill
Cacatua galerita | Sulphur-crested cockatoo | Intelligent white parrot with yellow crest
Melopsittacus undulatus | Budgerigar | Small nomadic Australian parrot widely kept as pet
Strigops habroptilus | Kakapo | Nocturnal flightless parrot with lek breeding
Nestor notabilis | Kea | Alpine parrot renowned for curiosity and intelligence
Tyto alba | Barn owl | Heart-faced nocturnal hunter with silent flight
Bubo bubo | Eurasian eagle-owl | One of the largest owls
Athene cunicularia | Burrowing owl | Long-legged owl nesting underground
Strix varia | Barred owl | Forest owl with distinctive hooting phrase
Haliaeetus leucocephalus | Bald eagle | Fish-eating North American sea eagle
Aquila chrysaetos | Golden eagle | Powerful mountain raptor hunting medium-sized prey
Harpia harpyja | Harpy eagle | Massive rainforest eagle with enormous talons
Pandion haliaetus | Osprey | Globally distributed raptor specialized for catching fish
Falco peregrinus | Peregrine falcon | Fastest animal during hunting dives
Falco tinnunculus | Common kestrel | Small falcon that hovers while hunting
Sagittarius serpentarius | Secretarybird | Long-legged terrestrial raptor that hunts snakes
Cathartes aura | Turkey vulture | Soaring scavenger with keen sense of smell
Gymnogyps californianus | California condor | Giant endangered New World vulture
Gypaetus barbatus | Bearded vulture | Bone-eating mountain vulture that drops carcass parts
Corvus corax | Common raven | Highly intelligent corvid with complex social behavior
Corvus brachyrhynchos | American crow | Adaptable tool-using urban corvid
Pica pica | Eurasian magpie | Bold black-and-white corvid attracted to novel objects
Cyanocitta cristata | Blue jay | Loud blue North American corvid and seed disperser
Garrulus glandarius | Eurasian jay | Acorn-caching forest bird
Paradisaea apoda | Greater bird-of-paradise | New Guinea bird with elaborate courtship plumage
Ptilonorhynchus violaceus | Satin bowerbird | Male decorates a bower to attract mates
Menura novaehollandiae | Superb lyrebird | Master vocal mimic with ornate tail
Pipra filicauda | Wire-tailed manakin | Tiny rainforest bird with coordinated courtship dances
Turdus migratorius | American robin | Familiar orange-breasted thrush
Sialia sialis | Eastern bluebird | Cavity-nesting blue and rust-colored songbird
Erithacus rubecula | European robin | Territorial small songbird with orange face
Luscinia megarhynchos | Common nightingale | Plain bird celebrated for rich nocturnal song
Toxostoma rufum | Brown thrasher | Long-tailed mimic with extensive song repertoire
Mimus polyglottos | Northern mockingbird | Urban songbird that imitates many sounds
Sturnus vulgaris | European starling | Murmuration-forming invasive songbird
Gracula religiosa | Common hill myna | Glossy Asian starling and skilled vocal mimic
Passer domesticus | House sparrow | Human-associated songbird spread worldwide
Taeniopygia guttata | Zebra finch | Social Australian finch used in vocal-learning research
Serinus canaria | Atlantic canary | Wild ancestor of domesticated singing canaries
Cardinalis cardinalis | Northern cardinal | Bright red crested North American songbird
Spinus tristis | American goldfinch | Yellow seed-eating finch with bouncing flight
Geospiza fortis | Medium ground finch | Darwin's finch showing rapid beak evolution
Setophaga petechia | Yellow warbler | Small insect-eating migratory songbird
Troglodytes aedon | House wren | Tiny energetic cavity-nesting songbird
Hirundo rustica | Barn swallow | Fork-tailed aerial insect hunter
Apus apus | Common swift | Aerial bird spending most of its life in flight
Archilochus colubris | Ruby-throated hummingbird | Tiny hovering nectar feeder and long-distance migrant
Calypte anna | Anna's hummingbird | Iridescent hummingbird adapted to urban gardens
Ramphastos toco | Toco toucan | Large-billed fruit-eating tropical bird
Alcedo atthis | Common kingfisher | Jewel-colored river bird diving for fish
Megaceryle alcyon | Belted kingfisher | Rattling North American fish-catching bird
Merops apiaster | European bee-eater | Colorful aerial hunter of stinging insects
Buceros rhinoceros | Rhinoceros hornbill | Large rainforest bird with prominent casque
Upupa epops | Eurasian hoopoe | Crested bird probing soil with curved bill
Picus viridis | European green woodpecker | Ground-feeding woodpecker specializing in ants
Dryocopus pileatus | Pileated woodpecker | Large crested woodpecker excavating dead trees
Melanerpes formicivorus | Acorn woodpecker | Cooperative bird storing acorns in communal granaries
Cuculus canorus | Common cuckoo | Brood parasite laying eggs in other birds' nests
Geococcyx californianus | Greater roadrunner | Fast-running desert cuckoo that hunts reptiles
Caprimulgus europaeus | European nightjar | Camouflaged nocturnal aerial insectivore
Steatornis caripensis | Oilbird | Echolocating nocturnal fruit-eating cave bird
Grus japonensis | Red-crowned crane | Tall East Asian crane with elaborate pair dances
Balearica regulorum | Gray crowned crane | African crane with golden crown feathers
Otis tarda | Great bustard | Heavy grassland bird and one of the largest flying birds
Charadrius vociferus | Killdeer | Ground-nesting shorebird using broken-wing distraction displays
Haematopus ostralegus | Eurasian oystercatcher | Bold shorebird with red bill for opening shellfish
Scolopax rusticola | Eurasian woodcock | Woodland wader with eyes high on its head
Jacana spinosa | Northern jacana | Long-toed wetland bird walking on floating vegetation
Crocodylus niloticus | Nile crocodile | Large African ambush predator with powerful bite
Alligator mississippiensis | American alligator | Broad-snouted wetland crocodilian of the southeastern United States
Gavialis gangeticus | Gharial | Long-snouted fish-eating crocodilian
Sphenodon punctatus | Tuatara | Ancient-looking reptile and sole surviving rhynchocephalian
Chelonia mydas | Green sea turtle | Migratory marine turtle that becomes largely herbivorous
Dermochelys coriacea | Leatherback sea turtle | Largest turtle with flexible shell and deep-diving ability
Chelonoidis niger | Galápagos giant tortoise | Long-lived island tortoise with giant body
Testudo graeca | Spur-thighed tortoise | Terrestrial Mediterranean tortoise
Chelydra serpentina | Common snapping turtle | Aggressive freshwater turtle with strong jaws
Pelodiscus sinensis | Chinese softshell turtle | Flat leathery-shelled aquatic turtle
Varanus komodoensis | Komodo dragon | Largest living lizard and venomous island predator
Varanus niloticus | Nile monitor | Large semiaquatic African monitor lizard
Iguana iguana | Green iguana | Arboreal herbivorous tropical lizard
Amblyrhynchus cristatus | Marine iguana | Ocean-foraging Galápagos lizard that eats algae
Chamaeleo chamaeleon | Common chameleon | Color-changing lizard with independently moving eyes
Basiliscus basiliscus | Common basilisk | Tropical lizard able to sprint across water
Draco volans | Common flying dragon | Rib-supported gliding lizard
Moloch horridus | Thorny devil | Spiny Australian lizard that channels water through skin grooves
Heloderma suspectum | Gila monster | Venomous desert lizard with beadlike scales
Pogona vitticeps | Central bearded dragon | Australian display lizard widely kept as a pet
Eublepharis macularius | Leopard gecko | Eyelidded ground gecko with detachable tail
Gekko gecko | Tokay gecko | Large vocal climbing gecko with adhesive toe pads
Anolis carolinensis | Green anole | Color-shifting American lizard with throat fan
Sceloporus occidentalis | Western fence lizard | Common spiny lizard of western North America
Phrynosoma cornutum | Texas horned lizard | Ant-eating lizard that can squirt blood from its eyes
Tiliqua scincoides | Common blue-tongued skink | Heavy-bodied lizard with vivid defensive tongue
Anguis fragilis | Slow worm | Legless burrowing lizard often mistaken for a snake
Python reticulatus | Reticulated python | World's longest snake and powerful constrictor
Python regius | Ball python | Small African constrictor that coils defensively
Boa constrictor | Boa constrictor | Large New World ambush constrictor
Eunectes murinus | Green anaconda | Heaviest living snake and semiaquatic predator
Ophiophagus hannah | King cobra | Longest venomous snake and specialist snake-eater
Naja naja | Indian cobra | Hooded venomous snake prominent in South Asian culture
Dendroaspis polylepis | Black mamba | Fast highly venomous African elapid
Bungarus caeruleus | Common krait | Nocturnal South Asian snake with potent neurotoxic venom
Micrurus fulvius | Eastern coral snake | Brightly banded venomous snake with fixed front fangs
Crotalus atrox | Western diamondback rattlesnake | Large pit viper with warning rattle
Bothrops asper | Fer-de-lance | Widespread tropical American pit viper
Bitis gabonica | Gaboon viper | Heavy viper with enormous fangs and cryptic pattern
Vipera berus | Common European adder | Cold-tolerant venomous snake of Eurasia
Thamnophis sirtalis | Common garter snake | Widespread live-bearing North American snake
Heterodon platirhinos | Eastern hognose snake | Toad-eating snake famous for dramatic death-feigning
Lampropeltis getula | Common kingsnake | Nonvenomous constrictor resistant to pit-viper venom
Pantherophis guttatus | Corn snake | Colorful rodent-eating snake widely kept as a pet
Chrysopelea paradisi | Paradise flying snake | Arboreal snake that glides by flattening its body
Hydrophis platurus | Yellow-bellied sea snake | Fully marine venomous snake with paddle-shaped tail
Xenopeltis unicolor | Sunbeam snake | Burrowing snake with intensely iridescent scales
Ambystoma mexicanum | Axolotl | Permanently aquatic salamander capable of extensive regeneration
Andrias japonicus | Japanese giant salamander | Huge river salamander with wrinkled skin
Cryptobranchus alleganiensis | Hellbender | Giant flattened salamander of clean rocky streams
Salamandra salamandra | Fire salamander | Black-and-yellow toxic terrestrial salamander
Plethodon cinereus | Red-backed salamander | Lungless woodland salamander breathing through its skin
Necturus maculosus | Mudpuppy | Aquatic salamander retaining feathery external gills
Siren lacertina | Greater siren | Eel-like aquatic salamander lacking hind limbs
Proteus anguinus | Olm | Blind cave salamander with extreme longevity
Rana temporaria | Common frog | Widespread European brown frog
Lithobates catesbeianus | American bullfrog | Large aquatic frog with booming call
Pelophylax lessonae | Pool frog | Green European frog associated with sunny ponds
Hyla arborea | European tree frog | Small climbing frog with adhesive toe pads
Agalychnis callidryas | Red-eyed tree frog | Iconic tropical frog with vivid eyes and flank colors
Dendrobates tinctorius | Dyeing poison dart frog | Brightly colored toxic rainforest frog
Phyllobates terribilis | Golden poison frog | One of the most toxic vertebrates
Oophaga pumilio | Strawberry poison dart frog | Tiny variable-colored frog with parental care
Rhinella marina | Cane toad | Large toxic toad introduced widely outside its native range
Bufo bufo | Common toad | Warty European amphibian with defensive toxins
Pelobates fuscus | Common spadefoot | Burrowing toad-like amphibian with digging spades
Breviceps adspersus | Bushveld rain frog | Round burrowing frog unable to jump well
Nasikabatrachus sahyadrensis | Purple frog | Deep-burrowing Indian frog with piglike snout
Pipa pipa | Surinam toad | Flattened aquatic frog that broods young in back skin
Xenopus laevis | African clawed frog | Fully aquatic frog and major laboratory model
Ceratophrys ornata | Argentine horned frog | Wide-mouthed ambush predator nicknamed Pac-Man frog
Leptodactylus pentadactylus | Smoky jungle frog | Large tropical frog with defensive secretions
Alytes obstetricans | Common midwife toad | Male carries strings of eggs around his legs
Bombina orientalis | Oriental fire-bellied toad | Small toxic amphibian displaying bright belly
Ascaphus truei | Coastal tailed frog | Stream frog with internal fertilization adaptation
Ichthyophis glutinosus | Ceylon caecilian | Limbless burrowing amphibian with sensory tentacles
Typhlonectes natans | Rubber eel | Fully aquatic caecilian that gives live birth
Latimeria chalumnae | West Indian Ocean coelacanth | Living lobe-finned fish once thought extinct
Neoceratodus forsteri | Australian lungfish | Air-breathing lobe-finned fish with ancient lineage
Petromyzon marinus | Sea lamprey | Jawless parasitic fish with toothed suction disc
Eptatretus stoutii | Pacific hagfish | Jawless scavenger producing enormous quantities of slime
Carcharodon carcharias | Great white shark | Large endothermic shark and marine apex predator
Rhincodon typus | Whale shark | Largest living fish and gentle filter feeder
Sphyrna mokarran | Great hammerhead | Large shark with wide sensory-enhancing head
Galeocerdo cuvier | Tiger shark | Broad-diet tropical shark capable of eating unusual prey
Carcharhinus leucas | Bull shark | Robust shark able to enter freshwater
Isurus oxyrinchus | Shortfin mako | Extremely fast open-ocean shark
Chlamydoselachus anguineus | Frilled shark | Deep-sea eel-like shark with primitive appearance
Mitsukurina owstoni | Goblin shark | Deep-sea shark with protrusible jaws
Cetorhinus maximus | Basking shark | Huge plankton-filtering shark
Pristis pristis | Largetooth sawfish | Ray with toothed rostrum used to slash prey
Manta birostris | Giant oceanic manta ray | Huge intelligent plankton-feeding ray
Dasyatis pastinaca | Common stingray | Bottom-dwelling ray armed with venomous tail spine
Torpedo marmorata | Marbled electric ray | Ray capable of producing strong electric shocks
Raja clavata | Thornback ray | Flattened seafloor skate laying rectangular egg cases
Hydrolagus colliei | Spotted ratfish | Cartilaginous chimaera with rabbitlike teeth
Acipenser sturio | European sturgeon | Ancient armored fish producing caviar
Polyodon spathula | American paddlefish | Long-snouted plankton-feeding freshwater fish
Lepisosteus osseus | Longnose gar | Armored air-gulping predatory fish
Amia calva | Bowfin | Primitive ray-finned fish tolerant of low oxygen
Anguilla anguilla | European eel | Catadromous fish migrating to the Sargasso Sea
Electrophorus electricus | Electric eel | Air-breathing knifefish generating powerful electric discharges
Conger conger | European conger | Large marine eel living in rocky crevices
Muraena helena | Mediterranean moray | Ambush eel using a second set of throat jaws
Clupea harengus | Atlantic herring | Schooling forage fish central to marine food webs
Sardina pilchardus | European pilchard | Small schooling oily fish harvested as sardines
Engraulis encrasicolus | European anchovy | Tiny plankton-feeding schooling fish
Salmo salar | Atlantic salmon | Migratory fish returning from sea to natal rivers
Oncorhynchus mykiss | Rainbow trout | Cold-water salmonid widely introduced and farmed
Esox lucius | Northern pike | Long-bodied freshwater ambush predator
Thymallus thymallus | European grayling | Stream salmonid with sail-like dorsal fin
Danio rerio | Zebrafish | Striped minnow and major developmental biology model
Cyprinus carpio | Common carp | Large adaptable freshwater fish domesticated as koi
Carassius auratus | Goldfish | Domesticated carp bred into many ornamental forms
Pimephales promelas | Fathead minnow | Small hardy baitfish and toxicology model
Catostomus commersonii | White sucker | Bottom-feeding North American freshwater fish
Arapaima gigas | Arapaima | Giant air-breathing Amazonian fish
Scleropages formosus | Asian arowana | Surface-feeding bonytongue prized in aquaria
Pygocentrus nattereri | Red-bellied piranha | Schooling South American fish with sharp interlocking teeth
Colossoma macropomum | Tambaqui | Large fruit-eating Amazonian fish and seed disperser
Silurus glanis | Wels catfish | Giant European catfish and opportunistic predator
Ictalurus punctatus | Channel catfish | Whiskered North American fish widely farmed
Pangasianodon gigas | Mekong giant catfish | Enormous migratory river catfish
Synodontis nigriventris | Upside-down catfish | African catfish that routinely swims belly-up
Poecilia reticulata | Guppy | Live-bearing ornamental fish with rapid evolution
Xiphophorus hellerii | Green swordtail | Livebearer whose males carry elongated tail swords
Gambusia affinis | Western mosquitofish | Tiny invasive livebearer introduced for mosquito control
Hippocampus kuda | Common seahorse | Upright fish with male pregnancy and grasping tail
Phycodurus eques | Leafy seadragon | Seahorse relative with elaborate leaflike camouflage
Gasterosteus aculeatus | Three-spined stickleback | Small armored fish central to evolutionary studies
Syngnathus acus | Greater pipefish | Slender seahorse relative with male brooding
Gadus morhua | Atlantic cod | Major cold-water food fish with historic economic importance
Melanogrammus aeglefinus | Haddock | North Atlantic bottom fish with dark shoulder mark
Lophius piscatorius | Anglerfish | Large bottom ambusher using a lure-like dorsal spine
Himantolophus groenlandicus | Footballfish | Deep-sea anglerfish with bioluminescent lure
Anoplogaster cornuta | Common fangtooth | Deep-sea fish with enormous teeth for its size
Chauliodus sloani | Sloane's viperfish | Deep-sea predator with fangs and luminous organs
Macropinna microstoma | Barreleye | Deep-sea fish with transparent head and rotating tubular eyes
Regalecus glesne | Giant oarfish | Extremely long ribbonlike deep-ocean fish
Mola mola | Ocean sunfish | Huge flattened fish that basks near the surface
Takifugu rubripes | Japanese pufferfish | Inflating fish containing potent tetrodotoxin
Diodon holocanthus | Long-spine porcupinefish | Inflating reef fish with erectable spines
Balistes capriscus | Gray triggerfish | Strong-jawed reef fish with locking dorsal spine
Acanthurus coeruleus | Blue tang | Algae-grazing reef fish with scalpel-like tail spine
Amphiprion ocellaris | Ocellaris clownfish | Anemone-dwelling reef fish with sex-changing hierarchy
Pomacanthus imperator | Emperor angelfish | Boldly patterned coral-reef fish changing color with age
Chaetodon auriga | Threadfin butterflyfish | Thin-bodied reef fish picking small prey from corals
Zanclus cornutus | Moorish idol | Distinctive reef fish with elongated dorsal filament
Pterois volitans | Red lionfish | Venomous-spined reef predator and Atlantic invader
Synanceia verrucosa | Reef stonefish | Masterfully camouflaged fish with highly venomous spines
Scorpaena scrofa | Red scorpionfish | Cryptic bottom fish with venomous dorsal spines
Thunnus thynnus | Atlantic bluefin tuna | High-speed warm-bodied ocean predator
Xiphias gladius | Swordfish | Fast pelagic fish with swordlike upper jaw
Istiophorus platypterus | Indo-Pacific sailfish | Extremely fast fish with huge sail-like dorsal fin
Scomber scombrus | Atlantic mackerel | Streamlined schooling ocean fish
Sphyraena barracuda | Great barracuda | Long toothy reef-associated ambush predator
Coryphaena hippurus | Mahi-mahi | Fast-growing colorful open-ocean predator
Perca fluviatilis | European perch | Striped freshwater predator with spiny dorsal fin
Sander vitreus | Walleye | Low-light freshwater predator with reflective eyes
Micropterus salmoides | Largemouth bass | Popular sport fish with cavernous mouth
Oreochromis niloticus | Nile tilapia | Hardy cichlid widely farmed for food
Symphysodon aequifasciatus | Blue discus | Disk-shaped Amazonian cichlid with parental mucus feeding
Astronotus ocellatus | Oscar | Large intelligent South American aquarium cichlid
Betta splendens | Siamese fighting fish | Air-breathing ornamental fish with elaborate fins
Osphronemus goramy | Giant gourami | Large labyrinth fish capable of breathing air
Periophthalmus barbarus | Atlantic mudskipper | Amphibious goby that walks and feeds on mudflats
